dollar_price_point,count_open,count_high,count_low,count_close,count_sum,count_sum_pct
140.0,0.0,1.0,2.0,1.0,4.0,0.001524390243902439
141.0,1.0,1.0,1.0,1.0,4.0,0.001524390243902439
142.0,2.0,1.0,0.0,1.0,4.0,0.001524390243902439
121.0,1.0,2.0,1.0,0.0,4.0,0.001524390243902439
117.0,1.0,2.0,0.0,1.0,4.0,0.001524390243902439
132.0,2.0,0.0,1.0,1.0,4.0,0.001524390243902439
120.0,1.0,1.0,0.0,2.0,4.0,0.001524390243902439
147.0,0.0,1.0,0.0,3.0,4.0,0.001524390243902439
111.0,2.0,0.0,1.0,1.0,4.0,0.001524390243902439
103.0,2.0,0.0,1.0,1.0,4.0,0.001524390243902439
152.0,0.0,2.0,0.0,1.0,3.0,0.0011432926829268292
148.0,2.0,1.0,0.0,0.0,3.0,0.0011432926829268292
153.0,1.0,1.0,0.0,1.0,3.0,0.0011432926829268292
109.0,1.0,0.0,2.0,0.0,3.0,0.0011432926829268292
102.0,0.0,1.0,1.0,1.0,3.0,0.0011432926829268292
163.0,0.0,0.0,1.0,1.0,2.0,0.0007621951219512195
165.0,1.0,1.0,0.0,0.0,2.0,0.0007621951219512195
166.0,0.0,1.0,0.0,1.0,2.0,0.0007621951219512195
157.0,0.0,1.0,0.0,1.0,2.0,0.0007621951219512195
154.0,1.0,1.0,0.0,0.0,2.0,0.0007621951219512195
16.0,0.0,0.0,2.0,0.0,2.0,0.0007621951219512195
151.0,1.0,0.0,0.0,1.0,2.0,0.0007621951219512195
146.0,1.0,0.0,1.0,0.0,2.0,0.0007621951219512195
145.0,0.0,0.0,2.0,0.0,2.0,0.0007621951219512195
155.0,0.0,0.0,1.0,0.0,1.0,0.00038109756097560977
158.0,1.0,0.0,0.0,0.0,1.0,0.00038109756097560977
159.0,0.0,1.0,0.0,0.0,1.0,0.00038109756097560977
162.0,0.0,1.0,0.0,0.0,1.0,0.00038109756097560977
164.0,1.0,0.0,0.0,0.0,1.0,0.00038109756097560977
143.0,0.0,1.0,0.0,0.0,1.0,0.00038109756097560977
175.0,0.0,1.0,0.0,0.0,1.0,0.00038109756097560977
